UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A19,F1A19,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A20,F1A20,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C021,F1C021,XF1C022,F1C022,XF1C031,F1C031,XF1C032,F1C032,XF1C051,F1C051,XF1C052,F1C052,XF1C061,F1C061,XF1C062,F1C062,XF1C071,F1C071,XF1C072,F1C072,XF1C101,F1C101,XF1C111,F1C111,XF1C112,F1C112,XF1C121,F1C121,XF1C122,F1C122,XF1C131,F1C131,XF1C132,F1C132,XF1C141,F1C141,XF1C142,F1C142,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C19OM,F1C19OM,XF1C19DP,F1C19DP,XF1C19IN,F1C19IN,XF1C19OT,F1C19OT,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,F1MHOP,XF1M05,F1M05,XF1M06,F1M06,XF1M07,F1M07,XF1M08,F1M08,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,XF1E12,F1E12,XF1E121,F1E121,XF1E122,F1E122,XF1E13,F1E13,XF1E131,F1E131,XF1E132,F1E132,XF1E14,F1E14,XF1E141,F1E141,XF1E142,F1E142,XF1E15,F1E15,XF1E151,F1E151,XF1E152,F1E152,XF1E16,F1E16,XF1E161,F1E161,XF1E162,F1E162,XF1E17,F1E17,XF1E171,F1E171,XF1E172,F1E172,F1FHA,XF1H01,F1H01,XF1H02,F1H02,XF1H03,F1H03,XF1H03A,F1H03A,XF1H03B,F1H03B,XF1H03C,F1H03C,XF1H03D,F1H03D,XF1N01,F1N01,XF1N02,F1N02,XF1N03,F1N03,XF1N04,F1N04,XF1N05,F1N05,XF1N06,F1N06,XF1N07,F1N07   
100654,"R",113462225,"R",164978439,"R",0,"R",164978439,"R",278440664,"R",20470855,"R",4488644,"R",73922593,"R",78411237,"R",79607043,"R",105010519,"R",184617562,"R",263028799,"R",32910420,"R",80882752,"R",0,"R",914144,"R",-78824596,"R",2972300,"R",5598192,"R",0,"R",230093529,"R",40964928,"R",23168141,"R",299824790,"R",139539403,"R",0,"R",4693051,"R",182077358,"R",162897947,"R",19179411,"R",-17411077,"R",1203966,"R",2972300,"R",50395005,"R",31871284,"R",970617,"R",342681,"R",0,"R",342681,"R",25675605,"R",0,"R",2245068,"R",0,"R",110731,"R",111610991,"R",3121777,"R",46717823,"R",0,"R",19102421,"R",176182,"R",0,"R",440000,"R",233164,"R",0,"R",69791367,"R",181402358,"R",675000,"R",0,"R",0,"R",0,"R",675000,"R",182077358,"R",30084991,"R",23131805,"R",9206031,"R",4948571,"R",11497156,"R",6082387,"R",7257779,"R",4136508,"R",27527791,"R",8257832,"R",10493154,"R",7346472,"R",23145252,"R",13413035,"R",1115980,"R",0,"R",0,"R",0,"R",0,"R",30272758,"R",6188,"R",162897947,"R",55025743,"R",13186701,"R",32304586,"R",6898447,"R",2701970,"R",52780500,1 ,"R",8452973,"R",79704000,"R",2964000,"R",15042334,1 ,"R",3823395,"R",22585851,"R",29946420,"R",3587069,"R",18427393,"R",675028,"R",176182,"R",0,"R",0,"R",26851717,"R",46130320,"R",22985068,"R",0,"R",22985068,"R",23145252,"R",0,"R",0,"R",0,"R",106420,"R",106420,"R",0,"R",44332,"R",44332,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22834316,"R",22834316,"R",0,2 ,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",-17695164,"R",182077358,"R",19179411,"R",-16207111,"R",-78824596,"R",84095687,"R",162897947
100663,"R",2275161243,"R",1780283860,"R",1503358031,"R",3283641891,"R",5558803134,"R",318830730,"R",38749671,"R",735642989,"R",774392660,"R",1087186699,"R",1552812605,"R",2639999304,"R",3414391964,"R",521937116,"R",765335216,"R",353055159,"R",405515948,"R",417398461,"R",1941304784,"R",170128180,"R",99616819,"R",2779902251,"R",1097695923,"R",44498064,"R",4191841237,"R",2411557377,"R",0,"R",0,"R",3474561258,"R",3316705873,"R",157855385,"R",1761851610,"R",21597789,"R",1941304784,"R",244929737,"R",392328131,"R",9637192,"R",81956259,"R",2743274,"R",79212985,"R",40269522,"R",2109833577,"R",59351275,"R",0,"R",51986550,"R",2990292243,"R",71281070,"R",306964712,"R",0,"R",57528004,"R",328585,"R",0,"R",18705016,"R",5169229,"R",3690454,"R",463667070,"R",3453959313,"R",0,"R",1854223,"R",17755898,"R",991824,"R",20601945,"R",3474561258,"R",300215187,"R",200836345,"R",302659583,"R",145613167,"R",184918390,"R",86773578,"R",173773607,"R",127432185,"R",40974834,"R",22132005,"R",220207623,"R",68921533,"R",35285313,"R",79414333,"R",15930599,"R",1892254393,"R",677699115,"R",0,"R",0,"R",87002610,"R",0,"R",3316705873,"R",1345338527,"R",333155173,"R",82380072,"R",141290967,"R",35437969,"R",1379103165,1 ,"R",112188000,"R",1245083000,"R",90170000,"R",198607000,1 ,"R",-25185389,"R",271431941,"R",431767116,"R",106887017,"R",23943357,"R",21881772,"R",304826,"R",44643,"R",10753136,"R",66244612,"R",123172346,"R",85456029,"R",2431004,"R",87887033,"R",35285313,"R",17473476,"R",17473476,"R",0,"R",11542367,"R",11542367,"R",0,"R",222457,"R",222457,"R",0,"R",32580,"R",32580,"R",0,"R",6252650,"R",6252650,"R",0,"R",52363503,"R",49932499,"R",2431004,1 ,"R",537349307,"R",539858544,"R",2509237,"R",26904149,"R",-24394912,"R",0,"R",0,"R",150898087,"R",4268321458,"R",170508208,"R",4074293914,"R",2861416773,"R",63098687,"R",4114622690
100706,"R",114048255,"R",295670658,"R",111384817,"R",407055475,"R",521103730,"R",36476893,"R",5258856,"R",80528211,"R",85787067,"R",147637713,"R",185355126,"R",332992839,"R",418779906,"R",46357210,"R",165514356,"R",11039538,"R",10052197,"R",-94162584,"R",92443507,"R",36835332,"R",0,"R",457304043,"R",109060422,"R",3055453,"R",606255250,"R",298706609,"R",3297318,"Z",0,"R",274590150,"R",268373272,"R",6216878,"R",86264155,"R",-37526,"R",92443507,"R",71219313,"R",105431257,"R",4373211,"R",2262876,"R",0,"R",2262876,"R",15924237,"R",0,"R",3990811,"R",0,"R",0,"R",203201705,"R",0,"R",55333602,"R",0,"R",14054697,"R",0,"R",0,"R",2182254,"R",-1026843,"R",0,"R",70543710,"R",273745415,"R",0,"R",844735,"R",0,"R",0,"R",844735,"R",274590150,"R",71571674,"R",44701497,"R",98856289,"R",52620157,"R",11033507,"R",3024474,"R",12878882,"R",6782252,"R",20821717,"R",7787838,"R",20974836,"R",9846365,"R",4310626,"R",15027760,"R",2486477,"R",0,"R",0,"R",0,"R",0,"R",12897981,"R",0,"R",268373272,"R",127249060,"R",42400246,"R",14765937,"R",18124586,"R",7038136,"R",58795307,1 ,"R",14675120,"R",161346000,"R",11769000,"R",27527359,1 ,"R",-1777139,"R",23288013,"R",34588210,"R",8949534,"R",9005275,"R",1044653,"R",109283,"R",0,"R",3028829,"R",43710947,"R",56898987,"R",50114488,"R",2473873,"R",52588361,"R",4310626,"R",8957293,"R",8957293,"R",0,"R",262308,"R",262308,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",1291201,"R",1265377,"R",25824,"R",42077559,"R",39629510,"R",2448049,1 ,"R",77250279,"R",75837207,"R",-1413072,"R",600453,"R",-2014207,"R",1817344,"R",-1816662,"R",8333743,"R",281735197,"R",9970150,"R",345943913,"R",156054805,"R",152896569,"R",271026168
100724,"R",70024213,"R",254801097,"R",711775,"R",255512872,"R",325537085,"R",25414221,"R",9684986,"R",27429445,"R",37114431,"R",195581775,"R",121617428,"R",317199203,"R",354313634,"R",37115428,"R",65835724,"R",19813941,"R",250000,"R",-126377421,"R",-40477756,"R",21200141,"R",86942823,"R",281686597,"R",26221006,"R",101250,"R",416151817,"R",173094739,"R",0,"R",11744019,"R",156473993,"R",142857923,"R",13616070,"R",-34826630,"R",-19267196,"R",-40477756,"R",37003390,"R",26982917,"R",4802345,"R",2501592,"R",0,"R",2501592,"R",10955090,"R",0,"R",0,"R",0,"R",3916867,"R",86162201,"R",0,"R",49983014,"R",0,"R",14826673,"R",170200,"R",0,"R",223867,"R",506827,"R",4249961,"R",69960542,"R",156122743,"R",351250,"Z",0,"R",0,"R",0,"R",351250,"R",156473993,"R",38106455,"R",23295461,"R",3857482,"R",1405590,"R",5307800,"R",975687,"R",12928881,"R",4701912,"R",15714772,"R",7532568,"R",39907944,"R",9392821,"R",16857740,"R",10176849,"R",1854880,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",142857923,"R",49158919,"R",10251863,"R",13094482,"R",10830766,"R",7807637,"R",51714256,1 ,"R",4124291,"R",70894091,"R",8196000,"R",11233219,1 ,"R",-27801134,"R",18459776,"R",28919428,"R",6991319,"R",11454301,"R",3372372,"R",170200,"Z",0,"R",1860867,"R",12827000,"R",29684740,"R",10759214,"R",2067786,"R",12827000,"R",16857740,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12827000,"R",10759214,"R",2067786,1 ,"R",94536751,"R",111315175,"R",16778424,"R",157197,"R",8305028,"R",895886,"R",7420313,"R",16308737,"R",152224032,"R",16308737,"R",94574688,"R",0,"R",203995814,"R",145173225
100733,"R",4519955,"R",12141699,"R",13457351,"R",25599050,"R",30119005,"R",4906054,"R",0,"R",4440557,"R",4440557,"R",0,"R",20721771,"R",20721771,"R",25162328,"R",5266180,"R",12141699,"R",0,"R",0,"R",-7545148,"R",4596551,"R",106750,"R",76802,"R",15578705,"R",1016261,"R",0,"R",16778518,"R",4636819,"R",0,"R",0,"R",21575197,"R",21485455,"R",89742,"R",4506809,"R",0,"R",4596551,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"A",,"R",21848976,"R",21848976,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-284586,"R",10807,"R",-273779,"R",21575197,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21575197,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",19392710,"R",13851702,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",2092745,"R",0,"R",21485455,"R",13851702,"R",4355766,"R",0,"R",412545,"R",0,"R",2865442,1 ,"R",2242092,"R",17924000,"R",1067000,"R",3607329,1 ,"R",-149347,"R",2797771,"R",4199180,"R",1298725,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",89742,"R",21575197,"R",89742,"R",4506809,"R",7545148,"R",0,"R",21485455
100751,"R",725759658,"R",2075830870,"R",2079919581,"R",4155750451,"R",4881510109,"R",185886393,"R",41322697,"R",501471841,"R",542794538,"R",1208064263,"R",791237074,"R",1999301337,"R",2542095875,"R",201932480,"R",1322651902,"R",436716309,"R",502203055,"R",61796881,"R",2323368147,"R",170872295,"R",147737354,"R",2420141294,"R",385597395,"R",130618222,"R",3254966560,"R",941284947,"R",60963979,"R",0,"R",1251494897,"R",1084764013,"R",166730884,"R",2156637263,"R",0,"R",2323368147,"R",525521122,"R",58204210,"R",31189670,"R",5787861,"R",1200281,"R",4587580,"R",158930066,"R",0,"R",9866923,"R",0,"R",78176763,"R",867676615,"R",0,"R",182797957,"R",0,"R",54504771,"R",0,"R",0,"R",54380178,"R",-10630633,"R",706687,"R",281758960,"R",1149435575,"R",0,"R",75191053,"R",26868269,"R",0,"R",102059322,"R",1251494897,"R",344853513,"R",203570947,"R",87882725,"R",30687050,"R",51931202,"R",29812345,"R",103079114,"R",50681727,"R",60453485,"R",29446145,"R",117119006,"R",53751535,"R",35435733,"R",198991166,"R",66003209,"R",0,"R",0,"R",0,"R",0,"R",85018069,"R",0,"R",1084764013,"R",463952958,"R",185663334,"R",82595398,"R",81695869,"R",39045098,"R",231811356,1 ,"R",82167334,"R",646185000,"R",32818000,"R",126410581,1 ,"R",-9175222,"R",108975155,"R",166776551,"R",42103551,"R",27196901,"R",15320130,"R",772030,"R",0,"R",18055670,"R",257525946,"R",318870677,"R",275547610,"R",7887334,"R",283434944,"R",35435733,"R",27196901,"R",27196901,"R",0,"R",4958861,"R",4958861,"R",0,"R",772030,"R",772030,"R",0,"R",0,"R",0,"R",0,"R",13016415,"R",13016415,"R",0,"R",237490737,"R",229603403,"R",7887334,1 ,"R",946690144,"R",939393269,"R",-7296875,"R",40452198,"R",-43181168,"R",-4567905,"R",0,"R",170048574,"R",1279435690,"R",183535600,"R",3097117568,"R",1295430122,"R",1336018116,"R",1109387116
100760,"R",10422398,"R",20690659,"R",0,"R",20690659,"R",31113057,"R",2628366,"R",630000,"R",4399907,"R",5029907,"R",5713543,"R",16300175,"R",22013718,"R",27043625,"R",5930335,"R",14417599,"R",845707,"R",0,"R",-14495843,"R",767463,"R",1699274,"R",2366988,"R",33447814,"R",9130440,"R",0,"R",46644516,"R",25953857,"R",0,"R",0,"R",18671807,"R",16743406,"R",1928401,"R",-1136243,"R",-24695,"R",767463,"R",2613333,"R",2436830,"R",1174089,"R",83500,"R",83500,"R",0,"R",0,"A",,"R",0,"A",,"R",270262,"R",6578014,"R",0,"R",9154795,"R",0,"R",2872007,"R",0,"R",0,"R",59927,"R",7064,"R",0,"R",12093793,"R",18671807,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18671807,"R",7005027,"R",4461931,"R",0,"R",0,"R",115699,"R",45976,"R",1092959,"R",540910,"R",2843320,"R",1681789,"R",2602065,"R",1302519,"R",1543482,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",1540854,"R",0,"R",16743406,"R",8033125,"R",2171958,"R",1584065,"R",1025988,"R",250042,"R",3678228,1 ,"R",989052,"R",12168000,"R",1194000,"R",1960579,1 ,"R",457126,"R",3625441,"R",4736335,"R",597305,"R",2724605,"R",129361,"R",1093429,"R",0,"R",0,"R",826980,"R",4774375,"R",3230893,"R",0,"R",3230893,"R",1543482,"R",1989776,"R",1989776,"R",0,"R",9975,"R",9975,"R",0,"R",404162,"R",404162,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",826980,"R",826980,"R",0,1 ,"R",431560,"R",433325,"R",1765,"R",0,"R",1765,"R",0,"R",0,"R",1928401,"R",18671807,"R",1928401,"R",767463,"R",-13650136,"R",6273060,"R",16743406
100812,"R",23399544,"R",43238501,"R",8715517,"R",51954018,"R",75353562,"R",6935866,"R",1518722,"R",7853173,"R",9371895,"R",9235387,"R",35908383,"R",45143770,"R",54515665,"R",10866241,"R",32484392,"R",586121,"R",100000,"R",-16262991,"R",16907522,"R",2593856,"R",2633789,"R",52823502,"R",3743766,"R",510238,"R",62305151,"R",19066650,"Z",0,"Z",0,"R",43536334,"R",38816619,"R",4719715,"R",12187807,"R",0,"R",16907522,"R",16107153,"R",1631130,"R",2900133,"Z",0,"Z",0,"Z",0,"R",222265,"Z",0,"Z",0,"Z",0,"R",0,"R",20860681,"Z",0,"R",16366504,"Z",0,"R",5533376,"Z",0,"Z",0,"R",0,"R",362184,"R",413589,"R",22675653,"R",43536334,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",43536334,"R",17826222,"R",12741508,"Z",0,"Z",0,"Z",0,"Z",0,"R",3692324,"R",2111484,"R",3351171,"R",2143431,"R",7420267,"R",3177210,"R",3808661,"R",349020,"R",178120,"Z",0,"Z",0,"Z",0,"Z",0,"R",2368954,"R",0,"R",38816619,"R",20351753,"R",6486853,"R",1566092,"R",1271173,"R",324611,"R",8816137,1 ,"R",2860000,"R",27459000,"R",1761000,"R",5027740,1 ,"R",-571383,"R",7473702,"R",9105241,"R",1614042,"R",5437694,"R",547492,"R",246814,"Z",0,"Z",0,"R",987948,"R",7219948,"R",3411287,"R",0,"R",3411287,"R",3808661,"R",1722118,"R",1722118,"R",0,"R",173391,"R",173391,"R",0,"R",78166,"R",78166,"R",0,"R",0,"Z",0,"R",0,"R",0,"Z",0,"R",0,"R",1437612,"R",1437612,"R",0,1 ,"R",4271684,"R",4496491,"R",224807,"R",0,"R",0,"R",0,"R",224807,"R",-17551049,"R",43536334,"R",4719715,"R",16907522,"R",-15676870,"R",10754109,"R",38816619
100830,"R",21894716,"R",101182660,"R",61638937,"R",162821597,"R",184716313,"R",16384977,"R",115827,"R",28891784,"R",29007611,"R",54974,"R",153556759,"R",153611733,"R",182619344,"R",19642695,"R",17925645,"R",29657951,"R",5255679,"R",-54000024,"R",-1160749,"R",15309408,"R",8818534,"R",135376442,"R",33807228,"R",747125,"R",194058737,"R",92876077,"R",0,"R",0,"R",96420837,"R",89786767,"R",6634070,"R",-7794819,"R",0,"R",-1160749,"R",38344523,"R",1036522,"R",3103835,"R",24536,"R",0,"R",24536,"R",6865851,"R",0,"R",1652963,"R",0,"R",459338,"R",51487568,"R",0,"R",27002506,"R",0,"R",13612419,"R",1002543,"R",0,"R",917571,"R",2386485,"R",0,"R",44921524,"R",96409092,"R",0,"R",0,"R",11745,"R",0,"R",11745,"R",96420837,"R",30163491,"R",22668418,"R",401645,"R",246811,"R",4729739,"R",2282553,"R",4592684,"R",3182279,"R",7303651,"R",4454298,"R",13960081,"R",6469364,"R",4904348,"R",6548878,"R",1310489,"R",0,"R",0,"R",0,"R",0,"R",17182250,"R",1261919,"R",89786767,"R",41876131,"R",12704691,"R",6891863,"R",4977071,"R",2898225,"R",20438786,1 ,"R",2275956,"R",63460613,"R",2520491,"R",11945980,1 ,"R",-1874413,"R",11705750,"R",17095336,"R",4438997,"R",11011844,"R",1977621,"R",105571,"R",0,"R",2559179,"R",7034285,"R",22688500,"R",15969905,"R",1814247,"R",17784152,"R",4904348,"R",11011844,"R",9888473,"R",1123371,"R",381703,"R",342764,"R",38939,"R",105571,"R",94801,"R",10770,"R",0,"R",0,"R",0,"R",2503382,"R",2248000,"R",255382,"R",3781652,"R",3395867,"R",385785,1 ,"R",51120949,"R",52113787,"R",992838,"R",778800,"R",2654349,"R",-2440311,"R",0,"R",6622325,"R",96409092,"R",6634070,"R",-1160749,"R",-24342073,"R",82577659,"R",89786767
100858,"R",475539565,"R",1745428744,"R",1624200289,"R",3369629033,"R",3845168598,"R",221445549,"R",39104039,"R",385868681,"R",424972720,"R",1121755517,"R",912006373,"R",2033761890,"R",2458734610,"R",224355953,"R",1357834476,"R",227932655,"R",24819379,"R",-227062926,"R",1383523584,"R",205633788,"R",279563312,"R",2018184106,"R",474488075,"R",108334665,"R",3086203946,"R",1182477089,"R",0,"R",2826578,"R",1242683971,"R",1140229313,"R",102454658,"R",1281068926,"R",0,"R",1383523584,"R",497796203,"R",103241690,"R",13458731,"R",22908861,"R",2788603,"R",20120258,"R",136763235,"R",0,"R",41022755,"R",0,"R",21388864,"R",836580339,"R",0,"R",262835942,"R",0,"R",33024037,"R",0,"R",0,"R",42495971,"R",53013383,"R",0,"R",391369333,"R",1227949672,"R",0,"R",14533281,"R",201018,"R",0,"R",14734299,"R",1242683971,"R",246788698,"R",138912242,"R",220256565,"R",114401617,"R",109617891,"R",50402151,"R",144933734,"R",87376627,"R",38623385,"R",20394763,"R",91262006,"R",62436957,"R",25835267,"R",186737984,"R",56671003,"R",0,"R",0,"R",0,"R",0,"R",76173783,"R",1,"R",1140229313,"R",530595361,"R",177666219,"R",114253147,"R",87839118,"R",31265737,"R",198609731,1 ,"R",85410603,"R",687692707,"R",27397508,"R",141595597,1 ,"R",-9236820,"R",166240314,"R",196596364,"R",51048462,"R",16203862,"R",17909294,"R",84512,"R",10345,"R",57073864,"R",63262217,"R",154544094,"R",122754700,"R",5954127,"R",128708827,"R",25835267,"R",16155877,"R",15450776,"R",705101,"R",3677119,"R",3506868,"R",170251,"R",336259,"R",320976,"R",15283,"R",0,"Z",0,"Z",0,"R",15215135,"R",14510674,"R",704461,"R",93324437,"R",88965406,"R",4359031,1 ,"R",774534709,"R",784621493,"R",10086784,"R",30958729,"R",39451881,"R",32493587,"R",-92817413,"R",87720359,"R",1227949672,"R",102454658,"R",1383523584,"R",869729,"R",860684303,"R",1140229313
