UNITID,XF2A01,F2A01,XF2A19,F2A19,XF2A20,F2A20,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2C10,F2C10,XF2C12,F2C12,XF2C121,F2C121,XF2C122,F2C122,XF2C13,F2C13,XF2C131,F2C131,XF2C132,F2C132,XF2C14,F2C14,XF2C141,F2C141,XF2C142,F2C142,XF2C15,F2C15,XF2C151,F2C151,XF2C152,F2C152,XF2C16,F2C16,XF2C161,F2C161,XF2C162,F2C162,XF2C17,F2C17,XF2C171,F2C171,XF2C172,F2C172,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D17,F2D17,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E021,F2E021,XF2E022,F2E022,XF2E031,F2E031,XF2E032,F2E032,XF2E041,F2E041,XF2E042,F2E042,XF2E051,F2E051,XF2E052,F2E052,XF2E061,F2E061,XF2E062,F2E062,XF2E071,F2E071,XF2E072,F2E072,XF2E081,F2E081,XF2E091,F2E091,XF2E092,F2E092,XF2E101,F2E101,XF2E102,F2E102,XF2E121,F2E121,XF2E122,F2E122,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,F2FHA,XF2H01,F2H01,XF2H02,F2H02,XF2H03,F2H03,XF2H03A,F2H03A,XF2H03B,F2H03B,XF2H03C,F2H03C,XF2H03D,F2H03D,XF2I01,F2I01,XF2I02,F2I02,XF2I03,F2I03,XF2I04,F2I04,XF2I05,F2I05,XF2I06,F2I06,XF2I07,F2I07   
100690,"R",9244107,"R",2750077,"R",0,"R",15676767,"R",842459,"R",0,"R",14323159,"R",511149,"R",174818,"R",336331,"R",14834308,"R",1340625,"R",1065662,"R",3070170,"R",0,"R",0,"R",5476457,"R",2726380,"R",7940291,"R",7258355,"R",0,"R",681936,"R",14152372,"R",0,"R",14834308,"R",1030965,"R",22412,"R",0,"R",0,"R",0,"R",1117447,"R",2170824,"R",1117447,"R",0,"R",1117447,"R",1030965,"R",1030965,"R",0,"R",22412,"R",22412,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",64070,"R",64070,"R",0,"R",7751424,"R",7751424,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21350,"R",21350,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",87981,"R",87981,"R",0,"R",0,"R",87981,"R",87981,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",31752,"R",36497,"R",0,"R",-4745,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",47784,"R",47784,"R",0,"R",0,"R",7940291,"R",7945036,"R",0,"R",-4745,"R",0,"R",0,"R",0,"R",0,"R",7940291,"R",7945036,"R",0,"R",-4745,"R",2409549,"R",1719744,"R",0,"R",0,"R",0,"R",0,"R",646408,"R",466174,"R",1105578,"R",847467,"R",3096820,"R",1055263,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7258355,"R",4088648,"R",513147,"R",224078,"R",157485,"R",0,"R",2274997, 1,"R",174818,"R",174817,"R",-1,"R",0,"R",0,"R",0,"R",-1,"R",686681,"R",7258355,"R",681936,"R",14152372,"R",14834308,"R",0,"R",7258355
100937,"R",45420770,"R",85937348,"R",0,"R",148584093,"R",42824628,"R",32038349,"R",46922381,"R",58837084,"R",50509099,"R",8327985,"R",105759465,"R",25317015,"R",155043138,"R",31189513,"R",0,"R",0,"R",211549666,"R",125612318,"R",43188270,"R",41417929,"R",0,"R",1770341,"R",103989124,"R",0,"R",105759465,"R",1225167,"R",2848492,"R",0,"R",0,"R",5254516,"R",4201350,"R",13529525,"R",9455866,"R",0,"R",9455866,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3798178,"R",3798178,"R",0,"R",5657688,"R",5657688,"R",0,"R",12093165,"R",12093165,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4699557,"R",4699557,"R",0,"R",0,"R",13360,"R",13360,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5725389,"R",1462164,"R",2531141,"R",1732084,"R",5639439,"R",1376214,"R",2531141,"R",1732084,"R",85950,"R",85950,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7559452,"R",1952,"R",7338318,"R",219182,"R",0,"R",0,"R",12377301,"R",12377301,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",720046,"R",641751,"R",78295,"R",0,"R",43188270,"R",31289250,"R",9947754,"R",1951266,"R",0,"R",7422238,"R",-7422238,"Z",0,"R",43188270,"R",38711488,"R",2525516,"R",1951266,"R",14157499,"R",8726640,"R",0,"R",0,"R",0,"R",0,"R",3271348,"R",619484,"R",7755584,"R",3283728,"R",8715706,"R",3364684,"R",7292087,"R",388550,"R",225704,"R",0,"Z",0,"R",0,"Z",0,"R",1,"R",0,"R",41417929,"R",16383086,"Z",0,"R",5055570,"R",2781676,"R",1670540,"R",15527057, 1,"R",49403369,"R",53984787,"R",4581418,"R",1732084,"R",7557500,"R",-4708166,"R",0,"R",-2706441,"R",38007888,"R",1770341,"R",103989124,"R",-7263371,"R",40729467,"R",41417929
101189,"R",24489701,"R",59754748,"Z",0,"R",102264403,"R",46734766,"R",32013448,"R",35510925,"R",20018712,"R",13538003,"R",6480709,"R",55529637,"R",8096644,"R",74854202,"R",32797758,"R",10560,"Z",0,"R",115759164,"R",56004416,"R",57337646,"R",46649762,"R",0,"R",10687884,"R",44841753,"R",0,"R",55529637,"R",5460873,"R",1378661,"R",1323990,"R",0,"R",286879,"R",13037025,"R",21487428,"R",12567721,"R",1158493,"R",13726214,"R",0,"R",0,"R",0,"R",273472,"R",250391,"R",23081,"R",128837,"R",117963,"R",10874,"R",0,"R",0,"R",0,"R",286880,"R",262667,"R",24213,"R",13037025,"R",11936700,"R",1100325,"R",32348171,"R",32348171,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",10623852,"R",0,"R",10623852,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5515478,"R",910150,"R",4458025,"R",147303,"R",5515478,"R",910150,"R",4458025,"R",147303,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4191479,"R",23502,"R",4041005,"R",126972,"R",0,"R",0,"R",3196945,"R",3196945,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1461721,"R",1667692,"R",-218471,"R",12500,"R",57337646,"R",38146460,"R",18904411,"R",286775,"R",0,"R",17328753,"R",-17328753,"R",0,"R",57337646,"R",55475213,"R",1575658,"R",286775,"R",18702957,"R",11222920,"R",0,"R",0,"R",0,"R",0,"R",2916760,"R",1055449,"R",9529685,"R",3336964,"R",9252378,"R",3044523,"R",4899793,"R",205045,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1348189,"R",0,"R",46649762,"R",18864901,"R",4196158,"R",4453444,"R",3160820,"R",1303061,"R",14671378, 1,"R",17838794,"R",21332492,"R",3493698,"R",159803,"R",3771872,"R",-437977,"R",0,"R",8825451,"R",55475213,"R",10687884,"R",44841753,"R",14566559,"R",32013448,"R",46649762
101365,"R",0,"R",3496531,"R",0,"R",15858201,"R",4204940,"R",0,"R",11653261,"R",0,"R",0,"R",0,"R",11653261,"R",280000,"R",3153703,"R",665204,"R",655332,"R",0,"R",4754239,"R",1257708,"R",8823445,"R",6034809,"R",40303,"R",2828939,"R",8824322,"R",0,"R",11653261,"R",2268231,"R",111538,"R",25471,"R",0,"R",0,"R",871229,"R",3276469,"R",871229,"R",0,"R",871229,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",871229,"R",871229,"R",0,"R",8608881,"R",8608881,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",214564,"R",214564,"R",0,"R",0,"R",8823445,"R",8823445,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",8823445,"R",8823445,"R",0,"R",0,"R",2413642,"R",1357816,"R",0,"R",0,"R",0,"R",0,"R",361731,"R",186332,"R",1883908,"R",516139,"R",1017816,"R",312631,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",357712,"R",32341,"R",6034809,"R",2405259,"R",395656,"R",150438,"R",77509,"R",0,"R",3005947, 2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2828939,"R",8823445,"R",2828939,"R",8824322,"R",0,"R",0,"R",6034809
101435,"R",60237137,"R",31396919,"Z",0,"R",97943913,"R",25948177,"R",22201716,"R",11627640,"R",60368096,"R",54053693,"R",6314403,"R",71995736,"R",3049311,"R",49235997,"R",13588633,"R",760882,"R",0,"R",66634823,"R",35237904,"R",35997787,"R",24281776,"R",0,"R",11716011,"R",60279725,"R",0,"R",71995736,"R",1686212,"R",168129,"R",736250,"R",0,"R",3421842,"R",6370168,"R",12382601,"R",10696389,"R",0,"R",10696389,"R",0,"R",0,"R",0,"R",168129,"R",168129,"Z",0,"R",736250,"R",736250,"Z",0,"R",0,"R",0,"Z",0,"R",9792010,"R",9792010,"Z",0,"R",0,"R",0,"R",0,"R",11496855,"R",11496855,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",7192347,"R",7192347,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1988403,"R",1728745,"R",119070,"R",140588,"R",1812668,"R",1728745,"R",83923,"R",0,"R",175735,"R",0,"R",35147,"R",140588,"Z",0,"Z",0,"Z",0,"Z",0,"R",9257693,"R",1268376,"R",2858332,"R",5130985,"R",0,"R",0,"R",5290073,"R",5290073,"R",0,"R",0,"R",428744,"R",428744,"Z",0,"Z",0,"R",343672,"R",212950,"R",130722,"R",0,"R",35997787,"R",27618090,"R",3108124,"R",5271573,"R",0,"R",128736,"R",-128736,"Z",0,"R",35997787,"R",27746826,"R",2979388,"R",5271573,"R",6300259,"R",3994469,"Z",0,"Z",0,"Z",0,"Z",0,"R",1672164,"R",828569,"R",6174464,"R",3080643,"R",4884387,"R",2161241,"R",4025168,"R",296399,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1225334,"R",0,"R",24281776,"R",10361321,"R",2005644,"R",1642339,"R",1993665,"R",577684,"R",7701123, 1,"R",51910937,"R",60206711,"R",8295774,"R",175735,"R",8332989,"R",212950,"R",-425900,"R",3465050,"R",27746826,"R",11716011,"R",60279725,"R",8746839,"R",22201716,"R",24281776
101453,"R",19231716,"R",2946118,"R",0,"R",22978534,"R",2119918,"R",0,"R",5339544,"R",15519072,"R",8318867,"R",7200205,"R",20858616,"R",1019751,"R",2689289,"R",3774915,"R",0,"R",0,"R",7483955,"R",4537837,"R",7201618,"R",3508300,"R",0,"R",3693318,"R",17165298,"R",0,"R",20858616,"R",159403,"R",6377,"R",0,"R",0,"R",533516,"R",0,"R",699296,"R",33,"R",0,"R",33,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",33,"R",33,"R",0,"R",893150,"R",893150,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2805110,"R",2239444,"R",8060,"R",557606,"R",2805110,"R",2239444,"R",8060,"R",557606,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3037212,"R",442097,"R",2593929,"R",1186,"R",0,"R",0,"R",52838,"R",52838,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",413308,"R",413308,"R",0,"R",0,"R",7201618,"R",4040837,"R",2601989,"R",558792,"R",0,"R",383028,"R",-383028,"R",0,"R",7201618,"R",4423865,"R",2218961,"R",558792,"R",668381,"R",466595,"R",63828,"R",53000,"R",68264,"R",52980,"R",313698,"R",192248,"R",391107,"R",260672,"R",1588408,"R",594718,"R",44459,"R",6000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",370155,"R",0,"R",3508300,"R",1626213,"R",247849,"R",531270,"R",225467,"R",0,"R",877501, 1,"R",12502663,"R",15150265,"R",2647602,"R",565666,"R",2477764,"R",-395828,"R",0,"R",752192,"R",3886341,"R",3693318,"R",17165298,"R",7126751,"R",0,"R",3508300
101675,"R",29292997,"R",52541088,"R",0,"R",96100201,"R",18185354,"R",15609992,"R",73944650,"R",3970197,"R",3012279,"R",957918,"R",77914847,"R",6045395,"R",74543421,"R",20924134,"R",3988120,"R",0,"R",105501070,"R",52959982,"R",47667401,"R",30500633,"R",0,"R",17166768,"R",60748079,"R",0,"R",77914847,"R",6580408,"R",2954907,"R",1002772,"R",71442,"R",2163594,"R",2762951,"R",15536074,"R",4926546,"R",0,"R",4926546,"R",0,"R",0,"R",0,"R",737269,"R",737269,"R",0,"R",1024654,"R",1024654,"R",0,"R",495685,"R",495685,"R",0,"R",0,"R",0,"R",0,"R",2668938,"R",2668938,"R",0,"R",6580408,"R",6580408,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",8955666,"R",8955666,"R",0,"R",0,"R",1002772,"R",1002772,"R",0,"Z",0,"R",71442,"R",71442,"R",0,"Z",0,"R",2570701,"R",2570701,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2570701,"R",2570701,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4890343,"R",4890343,"R",0,"R",0,"R",0,"R",0,"R",5553841,"R",5553841,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18042228,"R",18042228,"R",0,"R",0,"R",47667401,"R",47667401,"R",0,"R",0,"R",0,"R",-12863898,"R",12863898,"R",0,"R",47667401,"R",34803503,"R",12863898,"R",0,"R",5661317,"R",3884196,"R",0,"R",0,"R",10840,"R",6250,"R",1928090,"R",1284406,"R",6889271,"R",3412369,"R",12794993,"R",2103255,"R",3216122,"R",443984,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",30500633,"R",11134460,"R",1867983,"R",3281086,"R",1613581,"R",707521,"R",11896002, 1,"R",24402543,"R",29292887,"R",4890344,"R",0,"R",4890343,"R",244517,"R",-244516,"R",16922251,"R",37667689,"R",17166768,"R",60748079,"R",79471623,"R",15609992,"R",30500633
101693,"R",19747490,"R",37240171,"R",0,"R",74039844,"R",36292721,"R",32550590,"R",10294923,"R",27452200,"R",19378087,"R",8074113,"R",37747123,"R",1297996,"R",60353400,"R",13433563,"R",528488,"R",1042470,"R",76655917,"R",39415746,"R",34990340,"R",29849059,"R",0,"R",5141281,"R",32605842,"R",0,"R",37747123,"R",2446318,"R",2788856,"R",878293,"R",0,"R",2319547,"R",12345379,"R",20778393,"R",14777306,"R",0,"R",14777306,"R",0,"R",0,"R",0,"R",112380,"R",112380,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2319547,"R",2319547,"R",0,"R",12345379,"R",12345379,"R",0,"R",14622526,"R",14622526,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4098547,"R",2883974,"R",1214573,"R",0,"R",1188984,"R",1188984,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5561242,"R",1572046,"R",3827660,"R",161536,"R",3966398,"R",1572046,"R",2232816,"R",161536,"R",1594844,"R",0,"R",1594844,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3420861,"R",154460,"R",3090212,"R",176189,"R",0,"R",0,"R",5807039,"R",5807039,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",291141,"R",447154,"R",-169085,"R",13072,"R",34990340,"R",26676183,"R",7963360,"R",350797,"R",0,"R",5822480,"R",-5822480,"R",0,"R",34990340,"R",32498663,"R",2140880,"R",350797,"R",9710557,"R",5425339,"R",0,"R",0,"R",0,"R",0,"R",678946,"R",159093,"R",3063078,"R",1454892,"R",5198279,"R",1988528,"R",8529843,"R",1066852,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2668356,"R",0,"R",29849059,"R",10094704,"R",3332216,"R",3147472,"R",2212030,"R",1964676,"R",9097961, 1,"R",17265742,"R",20155794,"R",2890052,"R",161536,"R",3366006,"R",-736683,"R",99193,"R",2649605,"R",32498664,"R",5141281,"R",32605842,"R",18408657,"R",32550590,"R",29849059
101912,"R",31949393,"R",58990086,"R",0,"R",115223075,"R",21667855,"R",12572757,"R",57782924,"R",35772296,"R",0,"R",35772296,"R",93555220,"R",5592910,"R",83255727,"R",35967615,"R",0,"R",4764074,"R",129580326,"R",70590240,"R",61654689,"R",53353027,"R",0,"R",8301662,"R",85253558,"R",0,"R",93555220,"R",3039844,"R",393501,"R",99152,"R",0,"R",10035938,"R",62227,"R",13630662,"R",8507024,"R",5123638,"R",13630662,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13630662,"R",8507024,"R",5123638,"R",18229391,"R",18229391,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11198878,"R",5248320,"R",5950558,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7256882,"R",4823908,"R",2226166,"R",206808,"R",3177275,"R",1555238,"R",1415229,"R",206808,"R",4079607,"R",3268670,"R",810937,"R",0,"R",7998110,"R",7998110,"Z",0,"Z",0,"R",720940,"R",419655,"R",117842,"R",183443,"R",238859,"R",238859,"R",6379176,"R",6379176,"R",0,"R",0,"R",2110111,"R",2110111,"R",0,"R",0,"R",7522342,"R",2606675,"R",3328960,"R",1586707,"R",61654689,"R",48054205,"R",11623526,"R",1976958,"R",0,"R",8449963,"R",-8449963,"Z",0,"R",61654689,"R",56504168,"R",3173563,"R",1976958,"R",11111471,"R",6973730,"R",352256,"R",154936,"R",147985,"R",11394,"R",4436483,"R",1937368,"R",4301329,"R",1666151,"R",11700926,"R",3452756,"R",4830178,"R",450196,"R",0,"R",0,"R",0,"R",2938201,"R",379614,"R",13534198,"R",678132,"R",53353027,"R",15704277,"R",7699220,"R",3607024,"R",4487987,"R",315549,"R",21538970, 1,"R",20201402,"R",26286780,"R",6085378,"R",0,"R",5999999,"R",0,"R",85379,"R",3151141,"R",56504168,"R",8301662,"R",85253558,"R",36095035,"R",12572757,"R",53353027
102049,"R",373113178,"R",337256741,"R",0,"R",801305714,"R",405933980,"R",283220677,"R",90677487,"R",304694247,"R",172132422,"R",132561825,"R",395371734,"R",86837624,"R",447750076,"R",96258086,"R",9827995,"R",0,"R",640673781,"R",303417040,"R",263217953,"R",170878015,"R",46585258,"R",138925196,"R",256446538,"R",0,"R",395371734,"R",1786895,"R",1699101,"R",1193079,"R",0,"R",5805000,"R",61210000,"R",71694075,"R",67015000,"R",0,"R",67015000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5805000,"R",5805000,"R",0,"R",61210000,"R",61210000,"R",0,"R",122128093,"R",122128093,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13126765,"R",11431020,"R",1695745,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20191875,"R",11405150,"R",2877147,"R",5909578,"R",18913392,"R",11081525,"R",1922289,"R",5909578,"R",1278483,"R",323625,"R",954858,"R",0,"R",0,"R",0,"R",0,"R",0,"R",78928417,"R",31793929,"R",46802772,"R",331716,"R",0,"R",0,"R",23570720,"R",23570720,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5272083,"R",5190162,"R",81921,"R",0,"R",263217953,"R",205519074,"R",51457585,"R",6241294,"R",0,"R",-11606623,"R",11606623,"R",0,"R",263217953,"R",193912451,"R",63064208,"R",6241294,"R",86251053,"R",49998611,"R",0,"R",0,"R",3588400,"R",582740,"R",12494165,"R",5087785,"R",28206188,"R",10053951,"R",21375257,"R",11507270,"R",18962952,"R",1418319,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",170878015,"R",78648676,"R",23267601,"R",11814531,"R",16215185,"R",9480617,"R",31451405, 1,"R",332869066,"R",368437572,"R",35568506,"R",5931695,"R",80783374,"R",-13754486,"R",-37392077,"R",86144330,"R",187347473,"R",138925196,"R",256446538,"R",154316242,"R",283220677,"R",170878015
