UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3C12,F3C12,XF3C121,F3C121,XF3C122,F3C122,XF3C13,F3C13,XF3C131,F3C131,XF3C132,F3C132,XF3C14,F3C14,XF3C141,F3C141,XF3C142,F3C142,XF3C15,F3C15,XF3C151,F3C151,XF3C152,F3C152,XF3C16,F3C16,XF3C161,F3C161,XF3C162,F3C162,XF3C17,F3C17,XF3C171,F3C171,XF3C172,F3C172,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03,XF3G01,F3G01,XF3G02,F3G02,XF3G03,F3G03,XF3G04,F3G04,XF3G05,F3G05,XF3G06,F3G06,XF3G07,F3G07   
101116,"R",2561080,"R",0,"R",1037029,"R",0,"R",342122,"R",0,"R",2218958,"R",2561080,"R",0,"R",1231560,"R",411680,"R",0,"R",134740,"R",1777980,"R",740951,"R",1037029,"R",5631817,"R",6343914,"R",0,"R",-712097,"R",931434,"R",1999615,"R",6,"R",2218958,"R",1034552,"R",1134195,"R",131492,"R",131492,"R",0,"R",522667,"R",2822906,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3146407,"R",2168747,"R",0,"R",2168747,"R",131492,"R",0,"R",131492,"R",0,"R",0,"R",0,"R",0,"R",0,"R",185171,"R",0,"R",0,"R",5631817,"R",2295858,"R",2085449,"R",0,"R",0,"R",0,"R",0,"R",171284,"R",112547,"R",789482,"R",54250,"R",3087063,"R",268322,"R",0,"R",0,"R",0,"R",0,"R",0,"R",227,"R",0,"R",6343914,"R",2520568,"R",135710,"R",1497962,"R",316006,"R",0,"R",1873668,"R",0,"R",0, 3,"R",-712097,"R",5631817,"R",2218958,"R",2561080,"R",1181929,"R",0,"R",6343914
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",399765,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",399765,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",617688,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",64098,"A",,"A",,"R",0,"R",681786,"R",213546,"R",141920,"R",0,"R",0,"R",0,"R",0,"R",7175,"R",7175,"R",17924,"R",17924,"R",233823,"R",113180,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",472468,"R",280199,"R",7900,"R",114733,"R",4176,"R",0,"R",65460,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102845,"R",43333926,"R",0,"R",1405177,"R",2083915,"R",3789973,"R",0,"R",39543953,"R",43333926,"R",0,"R",9170968,"R",7553145,"R",0,"R",0,"R",16724113,"R",15318936,"R",1405177,"R",37887588,"R",36995996,"R",-336097,"R",555495,"R",0,"R",38988459,"R",-1,"R",39543953,"R",10079365,"R",2817801,"R",1406496,"R",927860,"R",478636,"R",5753768,"R",20057430,"R",5753768,"R",0,"R",5753768,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5753768,"R",5753768,"R",0,"R",37741374,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",146214,"R",0,"R",0,"R",0,"R",0,"R",37887588,"R",14145902,"R",6587212,"R",0,"R",0,"R",0,"R",0,"R",2622520,"R",1909162,"R",14053024,"R",6135563,"R",4687054,"R",2980799,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1487496,"R",85773,"R",36995996,"R",17698509,"R",3232580,"R",5084513,"R",1111656,"R",0,"R",9868738,"R",0,"R",0, 1,"R",555495,"R",37887588,"R",39543953,"R",43333926,"R",36054861,"R",0,"R",36995996
103501,"R",6184130,"R",2095337,"R",2447591,"R",0,"R",2968738,"R",568838,"R",3215392,"R",6184130,"R",450000,"R",2775507,"R",638339,"R",0,"R",971752,"R",4835598,"R",2388007,"R",2447591,"R",4488529,"R",4249674,"R",0,"R",238855,"R",0,"R",3241935,"R",-265398,"R",3215392,"R",1233433,"R",465295,"R",721856,"R",721856,"R",0,"R",5100,"R",2425684,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4268480,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",122987,"R",97062,"R",0,"A",,"R",0,"R",4488529,"R",1801903,"R",861852,"R",0,"R",0,"R",0,"R",0,"R",2277631,"R",1074473,"R",170140,"R",154931,"R",0,"R",0,"Z",0,"R",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",4249674,"R",2091256,"R",48284,"R",36572,"R",0,"R",0,"R",2073562,"A",,"A",,-2,"R",0,"R",4488529,"R",3215392,"R",6184130,"R",767801,"R",568838,"R",4249674
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",655482,"R",138956,"R",11234,"R",11234,"R",0,"R",40694,"R",846366,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1450445,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",66356,"A",,"A",,"R",149845,"R",1666646,"R",984339,"R",334398,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",48696,"R",42882,"R",123714,"R",69077,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",1156749,"R",446357,"R",60523,"R",375155,"R",9183,"R",0,"R",265531,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103893,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3505405,"R",91789,"R",0,"R",0,"R",0,"R",0,"R",3597194,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9798436,"R",3597194,"R",0,"R",3597194,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"A",,"R",159320,"R",13554950,"R",4849174,"R",2982881,"Z",0,"Z",0,"Z",0,"Z",0,"R",239111,"R",147194,"R",3164454,"R",1042101,"R",4734879,"R",947190,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",1,"R",0,"R",12987619,"R",5119366,"R",465040,"R",546338,"R",233955,"R",289,"R",6622631,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103909,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1749862,"R",73250,"R",0,"R",0,"R",0,"R",0,"R",1823112,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7781895,"R",1823112,"Z",0,"R",1823112,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"R",114236,"R",9719243,"R",4010881,"R",2798624,"Z",0,"Z",0,"Z",0,"Z",0,"R",125968,"R",90190,"R",1749077,"R",721349,"R",3846740,"R",932440,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",9732666,"R",4542603,"R",377888,"R",438745,"R",211929,"R",239,"R",4161262,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103927,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1343820,"R",63914,"R",0,"R",0,"R",0,"R",0,"R",1407734,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3876221,"R",1407734,"R",0,"R",1407734,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",62843,"R",5346798,"R",1797006,"R",1179038,"Z",0,"Z",0,"Z",0,"Z",0,"R",166956,"R",87431,"R",1305337,"R",431018,"R",2306323,"R",597122,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",5575622,"R",2294609,"R",214574,"R",116724,"R",306450,"R",148,"R",2643117,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103954,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",151508,"R",25749,"R",0,"R",0,"R",0,"R",0,"R",177257,"R",2500,"R",0,"R",2500,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2500,"R",2500,"R",0,"R",428725,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",380,"R",33412,"A",,"A",,"R",0,"R",462517,"R",58545,"R",58545,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",38632,"R",38632,"R",215012,"R",126468,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",312189,"R",223645,"R",0,"R",44065,"R",0,"R",380,"R",44099,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103963,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1319620,"R",13700,"R",0,"R",0,"R",0,"R",0,"R",1333320,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6898677,"R",120739,"R",0,"R",120739,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"R",4499,"R",7023915,"R",3148531,"R",1535126,"R",0,"R",0,"R",0,"R",0,"R",518620,"R",353652,"R",385021,"R",245066,"R",571323,"R",383310,"A",,"A",,"R",0,"A",,"A",,"R",2143240,"R",0,"R",6766735,"R",2517154,"R",484848,"R",739703,"R",66218,"R",0,"R",2958812,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
