UNITID,XF2A01,F2A01,XF2A19,F2A19,XF2A20,F2A20,XF2A02,F2A02,XF2A03,F2A03,XF2A03A,F2A03A,XF2A04,F2A04,XF2A05,F2A05,XF2A05A,F2A05A,XF2A05B,F2A05B,XF2A06,F2A06,XF2A11,F2A11,XF2A12,F2A12,XF2A13,F2A13,XF2A15,F2A15,XF2A16,F2A16,XF2A17,F2A17,XF2A18,F2A18,XF2B01,F2B01,XF2B02,F2B02,XF2B03,F2B03,XF2B04,F2B04,XF2B05,F2B05,XF2B06,F2B06,XF2B07,F2B07,XF2C01,F2C01,XF2C02,F2C02,XF2C03,F2C03,XF2C04,F2C04,XF2C05,F2C05,XF2C06,F2C06,XF2C07,F2C07,XF2C08,F2C08,XF2C09,F2C09,XF2C10,F2C10,XF2C12,F2C12,XF2C121,F2C121,XF2C122,F2C122,XF2C13,F2C13,XF2C131,F2C131,XF2C132,F2C132,XF2C14,F2C14,XF2C141,F2C141,XF2C142,F2C142,XF2C15,F2C15,XF2C151,F2C151,XF2C152,F2C152,XF2C16,F2C16,XF2C161,F2C161,XF2C162,F2C162,XF2C17,F2C17,XF2C171,F2C171,XF2C172,F2C172,XF2D01,F2D01,XF2D012,F2D012,XF2D013,F2D013,XF2D014,F2D014,XF2D02,F2D02,XF2D022,F2D022,XF2D023,F2D023,XF2D024,F2D024,XF2D03,F2D03,XF2D032,F2D032,XF2D033,F2D033,XF2D034,F2D034,XF2D04,F2D04,XF2D042,F2D042,XF2D043,F2D043,XF2D044,F2D044,XF2D05,F2D05,XF2D052,F2D052,XF2D053,F2D053,XF2D054,F2D054,XF2D06,F2D06,XF2D062,F2D062,XF2D063,F2D063,XF2D064,F2D064,XF2D07,F2D07,XF2D072,F2D072,XF2D073,F2D073,XF2D074,F2D074,XF2D08,F2D08,XF2D082,F2D082,XF2D083,F2D083,XF2D084,F2D084,XF2D08A,F2D08A,XF2D082A,F2D082A,XF2D083A,F2D083A,XF2D084A,F2D084A,XF2D08B,F2D08B,XF2D082B,F2D082B,XF2D083B,F2D083B,XF2D084B,F2D084B,XF2D09,F2D09,XF2D092,F2D092,XF2D093,F2D093,XF2D094,F2D094,XF2D10,F2D10,XF2D102,F2D102,XF2D103,F2D103,XF2D104,F2D104,XF2D11,F2D11,XF2D112,F2D112,XF2D12,F2D12,XF2D122,F2D122,XF2D13,F2D13,XF2D132,F2D132,XF2D14,F2D14,XF2D142,F2D142,XF2D143,F2D143,XF2D144,F2D144,XF2D15,F2D15,XF2D152,F2D152,XF2D153,F2D153,XF2D154,F2D154,XF2D16,F2D16,XF2D162,F2D162,XF2D163,F2D163,XF2D164,F2D164,XF2D17,F2D17,XF2D172,F2D172,XF2D173,F2D173,XF2D174,F2D174,XF2D18,F2D18,XF2D182,F2D182,XF2D183,F2D183,XF2D184,F2D184,XF2E011,F2E011,XF2E012,F2E012,XF2E021,F2E021,XF2E022,F2E022,XF2E031,F2E031,XF2E032,F2E032,XF2E041,F2E041,XF2E042,F2E042,XF2E051,F2E051,XF2E052,F2E052,XF2E061,F2E061,XF2E062,F2E062,XF2E071,F2E071,XF2E072,F2E072,XF2E081,F2E081,XF2E091,F2E091,XF2E092,F2E092,XF2E101,F2E101,XF2E102,F2E102,XF2E121,F2E121,XF2E122,F2E122,XF2E131,F2E131,XF2E132,F2E132,XF2E133,F2E133,XF2E134,F2E134,XF2E135,F2E135,XF2E136,F2E136,XF2E137,F2E137,F2FHA,XF2H01,F2H01,XF2H02,F2H02,XF2H03,F2H03,XF2H03A,F2H03A,XF2H03B,F2H03B,XF2H03C,F2H03C,XF2H03D,F2H03D,XF2I01,F2I01,XF2I02,F2I02,XF2I03,F2I03,XF2I04,F2I04,XF2I05,F2I05,XF2I06,F2I06,XF2I07,F2I07   
100690,"R",9216811,"R",2815287,"Z",0,"R",15207430,"R",1055058,"R",0,"R",13636478,"R",515894,"R",174818,"R",341076,"R",14152372,"R",1340626,"R",1065662,"R",2991769,"Z",0,"Z",0,"R",5398057,"R",2582770,"R",9188606,"R",6987409,"R",0,"R",2201197,"R",11951175,"R",0,"R",14152372,"R",1263175,"R",23360,"Z",0,"Z",0,"Z",0,"R",1319828,"R",2606363,"R",1319828,"R",0,"R",1319828,"R",1263175,"R",1263175,"R",0,"R",23360,"R",23360,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",33293,"R",33293,"R",0,"R",8417205,"R",8417205,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",22250,"R",22250,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",659208,"R",656568,"R",2640,"R",0,"R",659208,"R",656568,"R",2640,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",23124,"R",23111,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",66819,"R",262626,"R",-222726,"R",26919,"R",9188606,"R",9381760,"R",-220073,"R",26919,"R",0,"R",0,"Z",0,"Z",0,"R",9188606,"R",9381760,"R",-220073,"R",26919,"R",2220536,"R",1660977,"R",0,"R",0,"R",0,"R",0,"R",650260,"R",505662,"R",1075444,"R",871112,"R",3028885,"R",1079543,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",12284,"R",0,"R",6987409,"R",4117294,"R",520937,"R",80585,"R",144914,"R",11783,"R",2111896, 1,"R",174805,"R",174818,"R",13,"R",0,"R",13,"R",0,"R",0,"R",2394351,"R",9381760,"R",2201197,"R",11951175,"R",14152372,"R",0,"R",6987409
100937,"R",41963466,"R",87186911,"Z",0,"R",150253116,"R",46263992,"R",42114969,"R",49628822,"R",54360302,"R",48557833,"R",5802469,"R",103989124,"R",25314515,"R",153851504,"R",30875366,"Z",0,"Z",0,"R",210041385,"R",122854474,"R",37079363,"R",44619283,"R",0,"R",-7539920,"R",111529044,"R",0,"R",103989124,"R",1333126,"R",1312194,"Z",0,"Z",0,"R",5427823,"R",5450922,"R",13524065,"R",10878745,"R",0,"R",10878745,"R",0,"R",0,"R",0,"R",1069865,"R",1069865,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",4317306,"R",4317306,"Z",0,"R",5491574,"R",5491574,"R",0,"R",10883516,"R",10883516,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",5608848,"R",5608848,"R",0,"R",0,"R",2135,"R",2135,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",4349405,"R",1708831,"R",2042720,"R",597854,"R",4094895,"R",1454321,"R",2042720,"R",597854,"R",254510,"R",254510,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"R",1038409,"R",16660,"R",1006739,"R",15010,"R",0,"Z",0,"R",13550701,"R",13550701,"R",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",1646349,"R",1092333,"R",554016,"R",0,"R",37079363,"R",32863024,"R",3603475,"R",612864,"R",0,"R",8330172,"R",-8330172,"Z",0,"R",37079363,"R",41193196,"R",-4726697,"R",612864,"R",14408312,"R",9052406,"Z",0,"Z",0,"Z",0,"Z",0,"R",3760960,"R",676251,"R",8950139,"R",4013476,"R",8674844,"R",3763270,"R",8522716,"R",593619,"R",302312,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",44619283,"R",18099022,"R",4208662,"R",5304911,"R",2810144,"R",1788224,"R",12408320, 1,"R",53117638,"R",49403369,"R",-3714269,"R",723856,"R",1006739,"R",-5444864,"R",0,"R",-6024836,"R",39799160,"R",-7539920,"R",111529044,"R",-4126246,"R",42114969,"R",44619283
101189,"R",20438080,"R",51800672,"Z",0,"R",91818974,"R",46977221,"R",32760907,"R",26685474,"R",18156279,"R",13251228,"R",4905051,"R",44841753,"R",6606644,"R",68164170,"R",29263127,"R",646934,"Z",0,"R",104680875,"R",52880203,"R",42253708,"R",43624987,"R",0,"R",-1371279,"R",47914957,"R",-1701925,"R",44841753,"R",5936806,"R",1345049,"R",1399846,"Z",0,"R",377783,"R",12784038,"R",21843522,"R",12599710,"R",939630,"R",13539340,"R",0,"R",0,"R",0,"R",267699,"R",249121,"R",18578,"R",109822,"R",102200,"R",7622,"R",0,"R",0,"R",0,"R",377783,"R",351565,"R",26218,"R",12784036,"R",11896824,"R",887212,"R",32776809,"R",32776809,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2730847,"R",0,"R",2730847,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2137443,"R",1553161,"R",543839,"R",40443,"R",2137443,"R",1553161,"R",543839,"R",40443,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",531347,"R",288436,"R",185389,"R",57522,"Z",0,"Z",0,"R",2677353,"R",2677353,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1399909,"R",1216791,"R",183118,"R",0,"R",42253708,"R",38512550,"R",3643193,"R",97965,"R",0,"R",4154652,"R",-4154652,"Z",0,"R",42253708,"R",42667202,"R",-511459,"R",97965,"R",17939171,"R",11165474,"Z",0,"Z",0,"Z",0,"Z",0,"R",2773551,"R",1165273,"R",9018481,"R",3293551,"R",8205688,"R",2868832,"R",4610746,"R",192758,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1077350,"R",0,"R",43624987,"R",18685888,"R",3809213,"R",4136021,"R",2439099,"R",1338846,"R",13215920, 1,"R",18492390,"R",17838794,"R",-653596,"R",139049,"R",333357,"R",-1126002,"R",0,"R",-957785,"R",42667202,"R",-1371279,"R",47914957,"R",11573210,"R",32760907,"R",43624987
101365,"R",0,"R",3051737,"R",0,"R",12409960,"R",3585638,"R",0,"R",8824322,"R",0,"R",0,"R",0,"R",8824322,"R",280000,"R",3153703,"R",665204,"R",1608,"R",0,"R",4100515,"R",1048778,"R",8852352,"R",5762641,"R",17017,"R",3106728,"R",5717594,"R",0,"R",8824322,"R",2216100,"R",171694,"R",25468,"R",0,"R",0,"R",979581,"R",3392843,"R",979581,"R",0,"R",979581,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",979581,"R",979581,"R",0,"R",8639707,"R",8639707,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",212645,"R",212645,"R",0,"R",0,"R",8852352,"R",8852352,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",8852352,"R",8852352,"R",0,"R",0,"R",2223028,"R",1271228,"R",0,"R",0,"R",0,"R",0,"R",352839,"R",178043,"R",1774069,"R",538151,"R",967997,"R",312798,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",444708,"R",35091,"R",5762641,"R",2335311,"R",405403,"R",212261,"R",103040,"R",0,"R",2706626, 2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3106728,"R",8852352,"R",3106728,"R",5717594,"R",0,"R",0,"R",5762641
101435,"R",51696929,"R",30592073,"R",0,"R",90105209,"R",29825484,"R",23298140,"R",8162590,"R",52117135,"R",48782119,"R",3335016,"R",60279725,"R",3049311,"R",47677571,"R",12665667,"R",673387,"R",0,"R",64065936,"R",33473863,"R",23808475,"R",23465278,"R",0,"R",343197,"R",59936528,"R",0,"R",60279725,"R",2028506,"R",111540,"R",418209,"R",0,"R",3336107,"R",6830543,"R",12724905,"R",10696399,"R",0,"R",10696399,"R",0,"R",0,"R",0,"R",111540,"R",111540,"Z",0,"R",418209,"R",418209,"Z",0,"R",0,"Z",0,"Z",0,"R",10166650,"R",10166650,"Z",0,"R",0,"R",0,"R",0,"R",12068260,"R",12068260,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",768394,"R",768394,"R",0,"R",0,"R",363410,"R",363410,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2359532,"R",1882319,"R",147546,"R",329667,"R",1882319,"R",1882319,"R",0,"R",0,"R",477213,"R",0,"R",147546,"R",329667,"Z",0,"Z",0,"Z",0,"Z",0,"R",2024385,"R",1315213,"R",123129,"R",586043,"Z",0,"Z",0,"R",4890119,"R",4890119,"Z",0,"Z",0,"R",384375,"R",384375,"R",0,"R",0,"R",950000,"R",950000,"R",0,"R",0,"R",23808475,"R",22622090,"R",270675,"R",915710,"R",0,"R",156958,"R",-156958,"Z",0,"R",23808475,"R",22779048,"R",113717,"R",915710,"R",6165833,"R",3811145,"Z",0,"Z",0,"Z",0,"Z",0,"R",2197449,"R",1267692,"R",6536882,"R",3116469,"R",4724815,"R",1933311,"R",3840299,"R",233038,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",23465278,"R",10361655,"R",1921217,"R",1588066,"R",2243318,"R",684130,"R",6666892, 1,"R",50818280,"R",51910937,"R",1092657,"R",412088,"R",16509172,"R",950000,"R",-16778603,"R",-686230,"R",22779048,"R",343197,"R",59936528,"R",4203671,"R",23298140,"R",23465278
101453,"R",14836700,"R",3006163,"R",0,"R",19196743,"R",2031445,"R",0,"R",4587340,"R",12577958,"R",7760075,"R",4817883,"R",17165298,"R",1019751,"R",2689289,"R",3697123,"R",0,"R",0,"R",7406163,"R",4400000,"R",4280862,"R",3413020,"R",1,"R",867843,"R",16297455,"R",0,"R",17165298,"R",124013,"R",9525,"Z",0,"Z",0,"R",512758,"Z",0,"R",646296,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",817141,"R",817141,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2870345,"R",2270125,"R",79460,"R",520760,"R",2870345,"R",2270125,"R",79460,"R",520760,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",318474,"R",4788,"R",312768,"R",918,"Z",0,"Z",0,"R",67700,"R",67700,"Z",0,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",207202,"R",403316,"R",-196114,"R",0,"R",4280862,"R",3563070,"R",196114,"R",521678,"R",0,"R",-372928,"R",372928,"R",0,"R",4280862,"R",3190142,"R",569042,"R",521678,"R",528733,"R",410503,"R",64772,"R",53000,"R",41665,"R",6350,"R",211899,"R",108994,"R",328584,"R",231404,"R",1608126,"R",671903,"R",91955,"R",19942,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",537286,"R",0,"R",3413020,"R",1502096,"R",215853,"R",504671,"R",217313,"R",5967,"R",967120, 1,"R",11825721,"R",12502663,"R",676942,"R",578140,"R",475730,"R",376928,"R",-753856,"R",174578,"R",3065989,"R",867843,"R",16297455,"R",4587346,"R",0,"R",3413020
101541,"R",16781261,"R",11907574,"R",0,"R",31270049,"R",16701634,"R",11907574,"R",-3224833,"R",17793248,"R",14047540,"R",3745708,"R",14568415,"R",3361217,"R",21129354,"R",6453460,"Z",0,"Z",0,"R",30944031,"R",19036457,"R",9673439,"R",9415776,"R",0,"R",257663,"R",13969592,"R",341160,"R",14568415,"R",611597,"R",269217,"R",173719,"R",0,"R",635424,"R",1395583,"R",3085540,"R",2019208,"R",0,"R",2019208,"R",611597,"R",611597,"R",0,"R",269217,"R",269217,"R",0,"R",173719,"R",173719,"R",0,"R",0,"Z",0,"Z",0,"R",635424,"R",635424,"R",0,"R",329251,"R",329251,"R",0,"R",1884907,"R",1884907,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",4296015,"R",1160769,"R",3135246,"R",0,"R",4296015,"R",1160769,"R",3135246,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1047362,"R",488329,"R",559033,"Z",0,"R",386384,"Z",0,"Z",0,"R",386384,"Z",0,"Z",0,"R",1343318,"R",1343318,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",715453,"R",715453,"R",0,"R",0,"R",9673439,"R",5592776,"R",3694279,"R",386384,"R",0,"R",1536949,"R",-1536949,"Z",0,"R",9673439,"R",7129725,"R",2157330,"R",386384,"R",3380538,"R",1880503,"Z",0,"R",0,"R",76552,"R",32590,"R",669507,"R",307878,"R",1382833,"R",383290,"R",1282872,"R",578351,"R",1632928,"R",187548,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",990546,"R",0,"R",9415776,"R",3370160,"R",618843,"R",879068,"R",769855,"R",738887,"R",3038963, 1,"R",15479806,"R",14047540,"R",-1432266,"R",0,"R",386384,"R",-1818650,"R",0,"R",-1944891,"R",6919126,"R",257663,"R",13969592,"R",1353762,"R",11907574,"R",9415776
101675,"R",24402543,"R",49288587,"R",0,"R",86317354,"R",25569275,"R",21563695,"R",57022399,"R",3725680,"R",2767762,"R",957918,"R",60748079,"R",5880824,"R",72231981,"R",14015749,"R",5652111,"R",2860225,"R",100640890,"R",51352303,"R",34380962,"R",31170677,"R",0,"R",3210285,"R",57537794,"R",0,"R",60748079,"R",7004496,"R",4174422,"R",583473,"R",10473,"R",592853,"R",3478466,"R",15844183,"R",4071318,"R",0,"R",4071318,"R",185895,"R",185895,"R",0,"R",53145,"R",53145,"R",0,"R",583473,"R",583473,"R",0,"R",16120,"R",16120,"R",0,"R",0,"R",0,"R",0,"R",3232685,"R",3232685,"R",0,"R",8096319,"R",8096319,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",15810854,"R",15810854,"R",0,"R",0,"R",583473,"R",583473,"R",0,"R",0,"R",10474,"R",10474,"R",0,"R",0,"R",2585199,"R",2585199,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2585199,"R",2585199,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1086613,"R",1086613,"Z",0,"Z",0,"R",0,"R",0,"R",5700588,"R",5700588,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",507442,"R",507442,"R",0,"R",0,"R",34380962,"R",34380962,"Z",0,"Z",0,"R",0,"R",-5332991,"R",5332991,"Z",0,"R",34380962,"R",29047971,"R",5332991,"R",0,"R",5607682,"R",3592955,"R",0,"R",0,"R",513,"R",300,"R",1929390,"R",1227271,"R",8497881,"R",3510617,"R",11398597,"R",2197554,"R",3736614,"R",473600,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",31170677,"R",11002297,"R",2027971,"R",3957008,"R",1332610,"R",1228604,"R",11622187, 1,"R",23273985,"R",24402543,"R",1128558,"R",0,"R",1128561,"R",56428,"R",-56431,"R",3153857,"R",33294349,"R",3210285,"R",57537794,"R",39184384,"R",21563695,"R",31170677
101693,"R",16920422,"R",38238912,"R",0,"R",69808365,"R",37202523,"R",33540000,"R",7645318,"R",24960524,"R",19027290,"R",5933234,"R",32605842,"R",1297996,"R",60123741,"R",13994433,"R",0,"R",1053769,"R",76469939,"R",38231027,"R",30655455,"R",27326468,"R",0,"R",3328987,"R",29276855,"R",0,"R",32605842,"R",2511249,"R",631851,"R",855345,"R",0,"R",2426674,"R",11581847,"R",18006966,"R",14114661,"R",0,"R",14114661,"R",0,"R",0,"R",0,"R",106140,"R",106140,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2426674,"R",2426674,"R",0,"R",11581847,"R",11581847,"R",0,"R",14284898,"R",14284898,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1294006,"R",719780,"R",574226,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6530599,"R",1587030,"R",4828945,"R",114624,"R",4629018,"R",1587030,"R",2927364,"R",114624,"R",1901581,"R",0,"R",1901581,"R",0,"R",0,"R",0,"R",0,"R",0,"R",980631,"R",201044,"R",750995,"R",28592,"R",0,"R",0,"R",4580718,"R",4580718,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2984603,"R",2853847,"R",105706,"R",25050,"R",30655455,"R",24227317,"R",6259872,"R",168266,"R",0,"R",5622032,"R",-5622032,"R",0,"R",30655455,"R",29849349,"R",637840,"R",168266,"R",10033395,"R",5389541,"R",0,"R",0,"R",0,"R",0,"R",874487,"R",252636,"R",2908818,"R",1334644,"R",4857169,"R",1889460,"R",8139749,"R",871481,"R",0,"R",0,"R",0,"R",0,"R",0,"R",512850,"R",0,"R",27326468,"R",9737762,"R",3283138,"R",3157359,"R",2293082,"R",2113196,"R",6741931, 1,"R",17303532,"R",17265742,"R",-37790,"R",114624,"R",834825,"R",-1321159,"R",333920,"R",2522881,"R",29849349,"R",3328987,"R",29276855,"R",13809003,"R",33540000,"R",27326468
101912,"R",25717607,"R",52164348,"R",0,"R",104408271,"R",19154713,"R",9173831,"R",54631472,"R",30622086,"R",0,"R",30622086,"R",85253558,"R",5592910,"R",74286480,"R",33754226,"Z",0,"R",4632985,"R",118266601,"R",66102253,"R",58363294,"R",57843238,"R",0,"R",520056,"R",84733502,"R",0,"R",85253558,"R",3774656,"R",276139,"R",60142,"R",0,"R",11006406,"R",69993,"R",15187336,"R",7367675,"R",7819661,"R",15187336,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",15187336,"R",7367675,"R",7819661,"R",21999794,"R",21999794,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",9542483,"R",2902459,"R",6640024,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7622662,"R",5403147,"R",2219515,"R",0,"R",2970602,"R",1509321,"R",1461281,"R",0,"R",4652060,"R",3893826,"R",758234,"R",0,"R",7761908,"R",7761908,"R",0,"R",0,"R",533513,"R",368958,"R",164555,"Z",0,"R",342249,"R",342249,"R",7066531,"R",7066531,"R",0,"R",0,"R",961522,"R",961522,"R",0,"R",0,"R",2532632,"R",1470279,"R",1062353,"R",0,"R",58363294,"R",48276847,"R",10086447,"R",0,"R",0,"R",8128835,"R",-8128835,"R",0,"R",58363294,"R",56405682,"R",1957612,"R",0,"R",12574417,"R",8196262,"R",535510,"R",266518,"R",149271,"R",25218,"R",3927896,"R",1892765,"R",5565380,"R",1873010,"R",11483380,"R",4032645,"R",5548331,"R",602777,"R",0,"R",0,"R",0,"R",2033866,"R",541082,"R",16025187,"R",0,"R",57843238,"R",17430277,"R",7687561,"R",3828579,"R",4069499,"R",307448,"R",24519874, 1,"R",19744545,"R",20201402,"R",456857,"R",0,"R",456857,"R",0,"R",0,"R",-1437556,"R",54631472,"R",520056,"R",84733502,"R",37734608,"R",9173831,"R",57843238
